Fecha,Mes,Año,Día,PRECIPITACIÓN,TMAX,TMIN,TPROM,HR,RAD_SOL,EVPTRNS,VDL
2010-01-01,1,2010,1,0.0,27.51,10.47,18.990000000000002,61.57,21.92,3.93,0.8439315674599084
2010-01-02,1,2010,2,0.0,28.04,12.77,20.405,58.46,21.59,3.33,0.9959422931561158
2010-01-03,1,2010,3,0.0,28.26,10.05,19.155,54.09,22.92,2.92,1.0186199187585265
2010-01-04,1,2010,4,0.0,27.82,12.38,20.1,50.96,21.9,2.43,1.1538107312567498
2010-01-05,1,2010,5,0.0,28.9,13.38,21.14,54.18,22.44,2.22,1.149382211209301
2010-01-06,1,2010,6,0.0,27.86,14.65,21.255,62.62,20.64,1.64,0.9443038755783771
2010-01-07,1,2010,7,0.0,28.49,14.7,21.595,64.57,19.42,1.42,0.9138686927242733
2010-01-08,1,2010,8,0.0,29.36,15.08,22.22,62.88,21.47,1.53,0.9946648845394285
2010-01-09,1,2010,9,0.0,30.76,15.63,23.195,58.9,20.73,1.61,1.1683679365700959
2010-01-10,1,2010,10,0.0,28.68,16.75,22.715,61.68,18.67,1.15,1.0581575259249323
2010-01-11,1,2010,11,0.0,28.88,12.92,20.9,57.68,18.5,1.13,1.0460530828843024
2010-01-12,1,2010,12,0.0,29.41,12.97,21.19,59.0,19.22,1.07,1.031633308307374
2010-01-13,1,2010,13,0.0,29.74,13.27,21.505,55.56,20.39,1.04,1.139976824493803
2010-01-14,1,2010,14,0.0,30.21,12.24,21.225,56.53,20.56,0.99,1.0961331480288319
2010-01-15,1,2010,15,0.0,30.62,15.05,22.835,57.85,20.41,0.88,1.1724113477883815
2010-01-16,1,2010,16,0.0,31.21,15.02,23.115000000000002,56.49,21.69,0.81,1.230914695406026
2010-01-17,1,2010,17,0.0,31.6,15.79,23.695,52.86,21.24,0.76,1.381072818095909
2010-01-18,1,2010,18,0.0,31.51,14.72,23.115000000000002,52.53,21.17,0.71,1.3429446240157221
2010-01-19,1,2010,19,0.0,31.51,14.93,23.22,54.82,21.41,0.58,1.2862923527561876
2010-01-20,1,2010,20,0.0,31.59,15.26,23.425,50.99,21.71,0.55,1.412699443136604
2010-01-21,1,2010,21,0.0,31.43,15.09,23.259999999999998,53.53,22.5,0.47,1.3262179949604749
2010-01-22,1,2010,22,0.0,30.41,17.38,23.895,59.49,18.53,0.38,1.2011877308973833
2010-01-23,1,2010,23,0.0,28.8,17.0,22.9,68.16,15.67,0.31,0.8891287415619404
2010-01-24,1,2010,24,0.0,29.27,15.63,22.45,64.19,17.27,0.38,0.9730737468848821
2010-01-25,1,2010,25,1.0,28.49,17.06,22.775,66.64,18.93,0.27,0.9245492182977513
2010-01-26,1,2010,26,0.0,26.96,17.35,22.155,65.42,15.7,0.23,0.9229447036139016
2010-01-27,1,2010,27,0.0,26.26,16.54,21.4,68.55,17.96,0.19,0.801588353219462
2010-01-28,1,2010,28,4.0,30.4,16.19,23.295,55.23,18.73,0.37,1.2804032244294132
2010-01-29,1,2010,29,0.0,28.71,16.66,22.685000000000002,56.82,21.2,0.28,1.190193584184408
2010-01-30,1,2010,30,0.0,30.25,18.09,24.17,60.21,21.73,0.27,1.1994697567616703
2010-01-31,1,2010,31,0.0,32.0,18.05,25.025,54.78,22.33,0.3,1.4346036063729288
2010-02-01,2,2010,1,0.0,32.4,16.99,24.695,54.03,23.3,0.25,1.4299801422648737
2010-02-02,2,2010,2,0.0,32.99,17.28,25.135,55.19,23.5,0.22,1.4309357935039948
2010-02-03,2,2010,3,0.0,32.64,18.22,25.43,56.25,21.83,0.19,1.4217989015469417
2010-02-04,2,2010,4,0.0,32.42,19.85,26.135,57.83,20.05,0.15,1.4288708946110111
2010-02-05,2,2010,5,2.0,31.05,19.47,25.259999999999998,62.07,18.87,0.12,1.2202724140670318
2010-02-06,2,2010,6,10.0,29.69,16.83,23.259999999999998,68.14,16.98,0.1,0.909259851935458
2010-02-07,2,2010,7,1.0,31.28,15.17,23.225,61.93,17.57,0.19,1.084195132994861
2010-02-08,2,2010,8,39.0,30.33,16.02,23.174999999999997,64.09,17.54,0.15,1.0195971210799304
2010-02-09,2,2010,9,35.0,27.47,18.1,22.785,69.05,17.84,0.12,0.8582775862086499
2010-02-10,2,2010,10,1.0,31.03,15.97,23.5,63.02,19.0,0.14,1.0707672798217442
2010-02-11,2,2010,11,0.0,31.5,16.34,23.92,62.46,19.97,0.18,1.1147951127882625
2010-02-12,2,2010,12,0.0,32.33,15.63,23.98,57.8,22.55,0.21,1.2577023541060526
2010-02-13,2,2010,13,15.0,28.45,18.47,23.46,63.78,22.59,0.09,1.046236284118961
2010-02-14,2,2010,14,0.0,30.23,17.52,23.875,64.48,16.4,0.15,1.0519613818837632
2010-02-15,2,2010,15,0.0,30.21,17.16,23.685000000000002,65.83,17.21,0.14,1.0004852400629054
2010-02-16,2,2010,16,0.0,30.72,16.59,23.655,62.68,17.1,0.16,1.0907452869895602
2010-02-17,2,2010,17,0.0,31.62,16.79,24.205,57.52,17.07,0.15,1.283248950321997
2010-02-18,2,2010,18,0.0,30.2,15.83,23.015,56.98,18.87,0.13,1.20971703524426
2010-02-19,2,2010,19,0.0,31.41,18.34,24.875,58.18,12.44,0.14,1.314932849571832
2010-02-20,2,2010,20,1.0,32.01,18.54,25.275,61.43,15.58,0.09,1.2419692202398467
2010-02-21,2,2010,21,0.0,31.72,18.35,25.035,61.16,15.51,0.1,1.2329322459743963
2010-02-22,2,2010,22,61.0,32.26,17.36,24.81,54.47,17.54,0.08,1.4260465352608998
2010-02-23,2,2010,23,0.0,30.21,17.61,23.91,64.31,14.57,0.08,1.0592207828047295
2010-02-24,2,2010,24,8.0,27.57,17.51,22.54,76.66,19.79,0.04,0.6376988019148515
2010-02-25,2,2010,25,52.0,27.75,17.38,22.564999999999998,81.61,14.48,0.13,0.5032171583062319
2010-02-26,2,2010,26,0.0,24.65,16.89,20.77,78.54,13.11,0.38,0.5262176714346293
2010-02-27,2,2010,27,0.0,30.84,16.48,23.66,68.76,21.37,0.77,0.9133209378614011
2010-02-28,2,2010,28,0.0,30.86,16.64,23.75,65.65,19.23,1.34,1.009695663065566
2010-03-01,3,2010,1,0.0,32.09,16.4,24.245,59.15,21.52,1.06,1.2369705727006535
2010-03-02,3,2010,2,1.0,30.48,17.96,24.22,67.57,15.93,0.53,0.9805364265084255
2010-03-03,3,2010,3,2.0,27.98,17.43,22.705,76.47,13.12,0.96,0.6493569396542376
2010-03-04,3,2010,4,0.0,27.41,17.21,22.310000000000002,76.47,16.41,0.73,0.6339693591164898
2010-03-05,3,2010,5,9.0,28.22,16.54,22.38,75.39,15.68,0.76,0.6658953765895629
2010-03-06,3,2010,6,19.0,22.41,18.09,20.25,87.39,17.04,0.25,0.2994513863320543
2010-03-07,3,2010,7,15.0,26.74,17.64,22.189999999999998,84.52,14.46,0.73,0.41404438628782114
2010-03-08,3,2010,8,0.0,29.29,17.73,23.509999999999998,78.09,14.25,1.52,0.6347931410727421
2010-03-09,3,2010,9,0.0,24.12,18.52,21.32,79.4,17.02,0.53,0.5224801571349961
2010-03-10,3,2010,10,2.0,30.99,17.76,24.375,71.11,18.84,1.41,0.8816486929863814
2010-03-11,3,2010,11,1.0,28.98,18.04,23.509999999999998,72.54,19.76,0.83,0.7955919513399131
2010-03-12,3,2010,12,1.0,29.72,18.43,24.075,70.27,18.74,0.81,0.8911200221221914
2010-03-13,3,2010,13,0.0,29.29,18.22,23.755,70.77,21.35,0.58,0.8594550117171669
2010-03-14,3,2010,14,0.0,30.81,16.05,23.43,65.06,18.57,0.79,1.0074392834778438
2010-03-15,3,2010,15,0.0,31.5,15.61,23.555,60.38,20.26,0.78,1.151016515239016
2010-03-16,3,2010,16,0.0,29.84,16.41,23.125,69.69,15.13,0.41,0.8579999194136124
2010-03-17,3,2010,17,6.0,24.35,18.3,21.325000000000003,81.03,13.25,0.14,0.4812857031698129
2010-03-18,3,2010,18,2.0,25.96,16.65,21.305,69.93,16.0,0.29,0.7619681723051248
2010-03-19,3,2010,19,0.0,29.73,17.46,23.595,64.95,19.4,0.62,1.0207072444576655
2010-03-20,3,2010,20,0.0,30.27,17.3,23.785,67.98,18.58,0.51,0.9431897170195123
2010-03-21,3,2010,21,2.0,32.3,16.72,24.509999999999998,64.88,18.91,0.64,1.0804625705533202
2010-03-22,3,2010,22,0.0,32.46,16.05,24.255000000000003,56.65,22.19,0.6,1.31345919002038
2010-03-23,3,2010,23,0.0,32.41,14.71,23.56,51.24,21.42,0.57,1.4169729503737347
2010-03-24,3,2010,24,0.0,32.59,14.42,23.505000000000003,54.59,24.18,0.51,1.3152566940690615
2010-03-25,3,2010,25,0.0,31.82,16.81,24.314999999999998,59.78,20.09,0.34,1.2230104786547054
2010-03-26,3,2010,26,0.0,29.81,17.7,23.755,69.05,17.29,0.51,0.9100284848664494
2010-03-27,3,2010,27,0.0,31.53,15.65,23.59,60.66,16.24,0.68,1.145293475480211
2010-03-28,3,2010,28,0.0,29.54,18.2,23.869999999999997,68.11,20.56,0.43,0.9441715181982862
2010-03-29,3,2010,29,0.0,30.29,17.78,24.035,68.95,18.38,0.37,0.9284545416809141
2010-03-30,3,2010,30,48.0,25.33,18.19,21.759999999999998,76.56,9.49,0.14,0.610729424954946
2010-03-31,3,2010,31,0.0,30.09,17.01,23.55,72.36,15.95,0.53,0.8027389548382832
2010-04-01,4,2010,1,0.0,30.43,16.42,23.425,63.91,19.77,0.94,1.0402840828973687
2010-04-02,4,2010,2,15.0,27.59,16.76,22.175,68.74,17.05,0.6,0.8353498757100946
2010-04-03,4,2010,3,0.0,27.41,17.81,22.61,75.1,13.48,0.53,0.6832173264207538
2010-04-04,4,2010,4,0.0,27.11,17.98,22.545,75.61,13.14,0.52,0.6665893216779549
2010-04-05,4,2010,5,1.0,23.12,17.77,20.445,86.54,12.64,0.32,0.3235076549540006
2010-04-06,4,2010,6,0.0,21.82,17.62,19.72,86.57,9.59,0.22,0.3086292099430912
2010-04-07,4,2010,7,0.0,23.39,16.62,20.005000000000003,84.61,17.73,0.38,0.3599728848919082
2010-04-08,4,2010,8,0.0,23.07,17.77,20.42,85.7,17.65,0.28,0.3431671370336804
2010-04-09,4,2010,9,3.0,27.09,17.7,22.395,78.78,13.64,0.41,0.5746926534473281
2010-04-10,4,2010,10,0.0,27.09,17.54,22.314999999999998,78.06,17.32,0.36,0.5913096960927862
2010-04-11,4,2010,11,0.0,24.52,18.0,21.259999999999998,80.61,10.53,0.21,0.4899856938638513
2010-04-12,4,2010,12,9.0,25.05,17.64,21.345,81.99,12.78,0.38,0.45748987580953276
2010-04-13,4,2010,13,5.0,23.63,17.45,20.54,85.36,18.62,0.56,0.3539360621959093
2010-04-14,4,2010,14,0.0,23.09,16.6,19.845,86.39,12.94,0.71,0.31519936624685946
2010-04-15,4,2010,15,0.0,25.87,17.06,21.465,81.66,17.91,1.33,0.4693083132211064
2010-04-16,4,2010,16,57.0,24.18,16.6,20.39,83.91,14.65,1.0,0.3854088734709108
2010-04-17,4,2010,17,0.0,24.88,17.09,20.985,82.86,23.01,1.21,0.42588012968001904
2010-04-18,4,2010,18,0.0,28.21,17.4,22.805,75.62,21.16,1.06,0.6769038845343452
2010-04-19,4,2010,19,5.0,26.36,17.01,21.685000000000002,80.44,14.29,0.58,0.5073065985794398
2010-04-20,4,2010,20,13.0,27.96,16.96,22.46,76.34,21.05,1.11,0.6433094895154776
2010-04-21,4,2010,21,0.0,29.26,18.16,23.71,72.32,22.3,1.23,0.8116802639957643
2010-04-22,4,2010,22,0.0,32.79,18.36,25.575,59.69,23.77,1.54,1.321324762130577
2010-04-23,4,2010,23,0.0,32.69,17.01,24.85,63.92,20.78,1.06,1.1327620077485128
2010-04-24,4,2010,24,0.0,31.68,18.43,25.055,68.45,17.91,0.93,1.0027127884475657
2010-04-25,4,2010,25,0.0,26.85,18.4,22.625,82.09,18.26,0.37,0.491869949014382
2010-04-26,4,2010,26,0.0,24.44,18.32,21.380000000000003,85.07,16.03,1.09,0.38006566544176656
2010-04-27,4,2010,27,1.0,24.74,17.93,21.335,83.18,16.81,1.12,0.4269998320227522
2010-04-28,4,2010,28,0.0,27.88,17.7,22.79,72.82,12.92,1.66,0.7539596854787801
2010-04-29,4,2010,29,8.0,29.27,16.31,22.79,68.89,19.64,3.01,0.8629759313923785
2010-04-30,4,2010,30,13.0,27.89,17.07,22.48,78.59,21.03,2.75,0.5828400537087945
2010-05-01,5,2010,1,1.0,28.61,15.73,22.17,70.52,21.21,3.93,0.7875438402975685
2010-05-02,5,2010,2,0.0,25.61,17.56,21.585,79.24,14.29,2.14,0.5351486668904738
2010-05-03,5,2010,3,85.0,20.99,16.21,18.6,89.38,15.49,0.61,0.22760283951663854
2010-05-04,5,2010,4,0.0,26.61,14.9,20.755,74.46,17.97,5.17,0.6256849697067806
2010-05-05,5,2010,5,0.0,23.15,15.95,19.549999999999997,86.84,18.21,1.87,0.29924962797982496
2010-05-06,5,2010,6,0.0,25.29,16.55,20.92,80.29,19.8,3.5,0.4877851638509888
2010-05-07,5,2010,7,0.0,27.96,16.75,22.355,75.17,21.66,5.12,0.6708280343215487
2010-05-08,5,2010,8,0.0,26.91,17.48,22.195,80.86,20.38,2.91,0.5120944113243397
2010-05-09,5,2010,9,1.0,26.96,16.82,21.89,79.09,22.15,4.09,0.5491501951242299
2010-05-10,5,2010,10,31.0,26.43,16.82,21.625,80.3,21.08,3.69,0.5090675283313908
2010-05-11,5,2010,11,12.0,25.39,17.54,21.465,82.05,17.86,3.55,0.4593284744993925
2010-05-12,5,2010,12,1.0,23.07,16.8,19.935000000000002,84.36,18.98,2.22,0.3642382867269889
2010-05-13,5,2010,13,50.0,25.61,17.76,21.685000000000002,80.0,18.09,4.39,0.5187184034554598
2010-05-14,5,2010,14,7.0,27.56,16.78,22.17,77.68,19.97,5.1,0.5962679279322158
2010-05-15,5,2010,15,8.0,26.82,17.48,22.15,78.85,20.96,4.07,0.5643244481279395
2010-05-16,5,2010,16,0.0,28.11,17.7,22.905,74.16,21.95,4.56,0.7217977728572357
2010-05-17,5,2010,17,0.0,27.23,18.38,22.805,75.27,17.53,4.57,0.6866215366913195
2010-05-18,5,2010,18,0.0,27.14,17.62,22.380000000000003,76.9,19.82,3.67,0.6250379195131616
2010-05-19,5,2010,19,0.0,27.62,17.54,22.58,76.63,18.35,3.7,0.6400703954014468
2010-05-20,5,2010,20,1.0,25.7,18.16,21.93,81.71,15.79,2.87,0.48151562889553035
2010-05-21,5,2010,21,2.0,24.26,17.01,20.635,84.17,15.68,2.74,0.38495238534846465
2010-05-22,5,2010,22,20.0,21.86,15.77,18.814999999999998,84.66,16.39,2.19,0.33320929135083854
2010-05-23,5,2010,23,0.0,22.13,16.65,19.39,90.69,16.77,1.44,0.20960816001600335
2010-05-24,5,2010,24,10.0,23.26,16.09,19.675,88.19,19.65,2.95,0.27064392291310496
2010-05-25,5,2010,25,50.0,24.86,16.45,20.655,84.21,20.25,3.55,0.38445297482968477
2010-05-26,5,2010,26,68.0,20.81,17.3,19.055,94.58,15.32,0.8,0.11950799257200019
2010-05-27,5,2010,27,0.0,19.74,16.88,18.31,95.86,9.46,0.51,0.0871289823778944
2010-05-28,5,2010,28,0.0,21.91,16.24,19.075,90.31,17.96,2.94,0.2139257445755072
2010-05-29,5,2010,29,0.0,22.65,14.86,18.755,85.73,16.99,4.17,0.308807138044556
2010-05-30,5,2010,30,0.0,21.6,16.31,18.955,92.62,18.86,2.13,0.16171291551498887
2010-05-31,5,2010,31,0.0,24.14,16.03,20.085,80.85,12.74,3.55,0.45014239740693857
2010-06-01,6,2010,1,0.0,25.44,17.43,21.435000000000002,77.37,17.11,6.04,0.578024121228582
2010-06-02,6,2010,2,57.0,25.24,17.23,21.235,81.63,18.87,5.48,0.4634993357242945
2010-06-03,6,2010,3,0.0,26.42,14.03,20.225,78.45,19.36,9.11,0.510960882874692
2010-06-04,6,2010,4,7.0,25.11,16.29,20.7,81.32,17.84,4.18,0.45608039519509835
2010-06-05,6,2010,5,0.0,26.31,15.36,20.835,76.26,23.09,7.53,0.5844576393201536
2010-06-06,6,2010,6,0.0,25.62,16.11,20.865000000000002,77.78,21.95,6.57,0.548046740117241
2010-06-07,6,2010,7,0.0,25.65,15.87,20.759999999999998,80.53,16.04,6.71,0.47712746129893674
2010-06-08,6,2010,8,12.0,25.42,17.07,21.245,80.22,17.09,5.5,0.49938157526217436
2010-06-09,6,2010,9,1.0,23.08,16.38,19.729999999999997,85.93,14.58,3.45,0.3235374275034307
2010-06-10,6,2010,10,35.0,23.37,16.28,19.825000000000003,83.39,19.15,4.32,0.3842009827746129
2010-06-11,6,2010,11,0.0,22.45,16.55,19.5,88.47,19.64,3.67,0.26137127564304596
2010-06-12,6,2010,12,0.0,24.09,16.93,20.509999999999998,85.21,20.06,4.26,0.35690174513054246
2010-06-13,6,2010,13,1.0,23.26,16.65,19.955,86.54,19.46,3.27,0.3138569982168344
2010-06-14,6,2010,14,0.0,21.45,16.33,18.89,92.77,15.16,1.23,0.15778454091061767
2010-06-15,6,2010,15,21.0,23.36,16.2,19.78,82.15,18.37,3.02,0.4117327542679377
2010-06-16,6,2010,16,0.0,25.14,15.7,20.42,82.3,15.99,5.3,0.4247593234612688
2010-06-17,6,2010,17,0.0,24.8,15.52,20.16,81.83,18.86,6.63,0.4290920363637131
2010-06-18,6,2010,18,0.0,25.67,17.3,21.485,75.88,17.57,6.71,0.61797056378472
2010-06-19,6,2010,19,0.0,24.56,15.93,20.244999999999997,81.42,18.95,6.04,0.4410855079131867
2010-06-20,6,2010,20,15.0,22.92,15.54,19.23,89.58,8.38,3.6,0.23227454101021766
2010-06-21,6,2010,21,20.0,22.04,14.94,18.49,88.38,20.48,4.08,0.24732516596360243
2010-06-22,6,2010,22,0.0,21.43,16.14,18.785,92.45,13.0,2.83,0.16369092292390483
2010-06-23,6,2010,23,25.0,22.0,15.98,18.990000000000002,90.12,19.45,3.4,0.21696705403340869
2010-06-24,6,2010,24,0.0,24.1,17.3,20.700000000000003,85.24,18.64,5.02,0.36037187543252963
2010-06-25,6,2010,25,10.0,22.05,17.5,19.775,89.72,18.88,2.39,0.23704765238619505
2010-06-26,6,2010,26,0.0,25.31,16.91,21.11,83.56,22.01,5.31,0.4116344222236067
2010-06-27,6,2010,27,1.0,23.29,17.16,20.225,84.87,13.73,3.95,0.35873958969346115
2010-06-28,6,2010,28,2.0,23.51,16.4,19.955,86.18,16.52,4.67,0.3222513904425445
2010-06-29,6,2010,29,4.0,24.62,15.58,20.1,81.88,20.43,6.12,0.426326477373008
2010-06-30,6,2010,30,0.0,25.88,15.1,20.49,78.3,18.59,8.32,0.5230035465106831
2010-07-01,7,2010,1,0.0,25.28,15.93,20.605,78.26,15.59,5.92,0.5276950144546793
2010-07-02,7,2010,2,0.0,23.66,15.92,19.79,81.19,16.02,5.38,0.43414547917239027
2010-07-03,7,2010,3,5.0,23.79,16.95,20.369999999999997,85.32,16.77,4.51,0.35120090343389854
2010-07-04,7,2010,4,7.0,24.29,16.15,20.22,84.89,17.82,5.76,0.35815470048522374
2010-07-05,7,2010,5,0.0,23.9,15.87,19.884999999999998,85.78,17.15,5.04,0.3301439160529272
2010-07-06,7,2010,6,5.0,20.72,15.67,18.195,87.99,13.54,1.62,0.25094076306554636
2010-07-07,7,2010,7,8.0,22.6,15.84,19.22,88.68,18.18,3.34,0.25217954162963
2010-07-08,7,2010,8,9.0,23.31,14.91,19.11,86.67,16.38,3.69,0.2949287019030209
2010-07-09,7,2010,9,0.0,23.92,16.03,19.975,82.52,17.85,5.1,0.4080994529708972
2010-07-10,7,2010,10,3.0,24.73,15.0,19.865000000000002,81.53,18.89,4.84,0.42828453584398624
2010-07-11,7,2010,11,0.0,21.48,15.81,18.645,83.75,10.31,2.02,0.3492443310876709
2010-07-12,7,2010,12,3.0,24.44,15.51,19.975,77.94,19.9,6.51,0.5150271128454228
2010-07-13,7,2010,13,4.0,24.0,14.76,19.38,81.73,18.85,5.44,0.4110805431414689
2010-07-14,7,2010,14,15.0,24.39,15.84,20.115000000000002,80.72,18.25,5.41,0.45403994882344045
2010-07-15,7,2010,15,25.0,19.63,16.86,18.244999999999997,93.64,16.47,1.02,0.13330557685852712
2010-07-16,7,2010,16,30.0,19.48,15.24,17.36,94.91,11.92,0.83,0.10090317967742417
2010-07-17,7,2010,17,35.0,20.07,14.89,17.48,87.5,16.53,1.86,0.2496829307032067
2010-07-18,7,2010,18,0.0,23.64,15.28,19.46,86.94,14.71,4.72,0.29531941878426504
2010-07-19,7,2010,19,0.0,24.38,15.88,20.13,82.23,21.09,5.88,0.4188681527172858
2010-07-20,7,2010,20,5.0,24.7,15.75,20.225,81.25,19.28,4.98,0.44457153382368786
2010-07-21,7,2010,21,55.0,21.44,16.74,19.09,89.24,17.86,2.59,0.237770350944894
2010-07-22,7,2010,22,15.0,23.36,16.38,19.869999999999997,85.0,18.55,4.88,0.34792955048152735
2010-07-23,7,2010,23,0.0,23.72,15.99,19.855,79.04,19.39,4.67,0.4857218528489918
2010-07-24,7,2010,24,0.0,25.46,15.15,20.305,73.43,20.11,7.27,0.6331086318659652
2010-07-25,7,2010,25,0.0,25.18,13.93,19.555,78.1,18.99,7.23,0.4981460991443952
2010-07-26,7,2010,26,10.0,23.58,15.92,19.75,83.6,14.85,4.0,0.3775835349991214
2010-07-27,7,2010,27,17.0,24.6,15.41,20.005000000000003,81.97,16.2,5.16,0.4217226195322355
2010-07-28,7,2010,28,15.0,22.78,16.86,19.82,88.17,16.91,3.23,0.2735514226088683
2010-07-29,7,2010,29,0.0,23.85,14.93,19.39,82.44,13.97,5.09,0.39535115895607037
2010-07-30,7,2010,30,0.0,23.72,16.26,19.990000000000002,84.31,18.91,4.07,0.36664928603398056
2010-07-31,7,2010,31,0.0,20.33,16.83,18.58,93.74,17.14,1.48,0.13399354261650387
2010-08-01,8,2010,1,0.0,21.6,16.37,18.985,90.1,16.22,1.67,0.2173384461310562
2010-08-02,8,2010,2,1.0,24.09,14.47,19.28,84.19,19.25,5.36,0.3535230883222831
2010-08-03,8,2010,3,2.0,21.88,17.23,19.555,85.42,11.92,3.18,0.3316424714851724
2010-08-04,8,2010,4,11.0,23.93,16.6,20.265,86.8,22.29,5.0,0.3137528125212192
2010-08-05,8,2010,5,0.0,25.18,16.6,20.89,84.34,21.54,6.26,0.38684130743791906
2010-08-06,8,2010,6,0.0,23.49,16.86,20.174999999999997,87.79,15.51,3.19,0.2886116963160896
2010-08-07,8,2010,7,0.0,23.92,15.94,19.93,85.43,13.63,4.78,0.339214108261072
2010-08-08,8,2010,8,0.0,22.72,15.69,19.205,86.69,17.48,3.78,0.29623457030791533
2010-08-09,8,2010,9,0.0,23.67,15.25,19.46,85.49,15.47,4.26,0.3281075625237124
2010-08-10,8,2010,10,0.0,23.91,16.03,19.97,84.43,21.1,4.98,0.3633948329672858
2010-08-11,8,2010,11,19.0,24.79,16.92,20.855,77.82,16.1,6.1,0.5467238674935312
2010-08-12,8,2010,12,0.0,23.34,16.2,19.77,85.36,15.18,3.71,0.3374807164180623
2010-08-13,8,2010,13,0.0,24.21,15.69,19.95,84.42,14.42,4.75,0.3631781736146162
2010-08-14,8,2010,14,0.0,23.49,16.61,20.049999999999997,86.13,15.01,3.63,0.32532478681248694
2010-08-15,8,2010,15,0.0,23.96,15.18,19.57,80.24,19.18,5.38,0.44988777802107677
2010-08-16,8,2010,16,1.0,22.74,16.43,19.585,87.98,20.15,3.24,0.2739216196195107
2010-08-17,8,2010,17,0.0,22.32,16.71,19.515,89.31,18.55,2.79,0.2425554651886206
2010-08-18,8,2010,18,2.0,19.72,15.23,17.475,91.85,14.87,1.03,0.1627418894295626
2010-08-19,8,2010,19,0.0,20.73,15.24,17.985,87.8,18.05,1.32,0.2515692898515171
2010-08-20,8,2010,20,0.0,21.57,15.68,18.625,88.26,17.16,2.45,0.2520000722133876
2010-08-21,8,2010,21,0.0,21.75,16.63,19.189999999999998,91.63,18.19,1.86,0.18611327580854892
